1 19810101 1.2
2 19810101 2.5
3 19810101 3.6
4 19810102 1.9
5 19810102 3.2
6 19810102 2.1
7 19810103 0.8
8 19810103 1.4
9 19810103 1.0
10 19810104 -0.8
11 19810104 0.3
12 19810104 -0.6
13 19810105 -4.6
14 19810105 -3.5
15 19810105 -8.0
16 19810106 -12.2
17 19810106 -8.3
18 19810106 -12.3
19 19810107 -9.3
20 19810107 -8.8
21 19810107 -12.4
22 19810108 -8.2
23 19810108 -2.2
24 19810108 -1.5
25 19810109 1.4
26 19810109 2.2
27 19810109 2.2
28 19810110 0.9
29 19810110 1.9
30 19810110 -1.2
31 19810111 -5.3
32 19810111 0.5
33 19810111 -1.2
34 19810112 1.0
35 19810112 -0.6
36 19810112 -1.0
37 19810113 -1.8
38 19810113 -0.5
39 19810113 -3.6
40 19810114 -0.2
41 19810114 -0.9
42 19810114 1.0
43 19810115 0.9
44 19810115 1.3
45 19810115 -0.1
46 19810116 -1.1
47 19810116 -1.6
48 19810116 0.4
49 19810117 -3.0
50 19810117 -1.5
51 19810117 -6.1
52 19810118 -10.8
53 19810118 -5.0
54 19810118 -7.2
55 19810119 -7.1
56 19810119 -4.6
57 19810119 -4.8
58 19810120 -5.4
59 19810120 -3.3
60 19810120 -6.8
61 19810121 -9.4
62 19810121 -2.2
63 19810121 -5.8
64 19810122 -3.1
65 19810122 -0.4
66 19810122 0.2
67 19810123 0.5
68 19810123 1.0
69 19810123 1.0
70 19810124 2.8
71 19810124 2.1
72 19810124 2.1
73 19810125 1.2
74 19810125 1.5
75 19810125 0.6
76 19810126 -3.1
77 19810126 -0.4
78 19810126 -3.3
79 19810127 -4.2
80 19810127 1.0
81 19810127 1.0
82 19810128 2.9
83 19810128 3.1
84 19810128 2.3
85 19810129 1.5
86 19810129 1.6
87 19810129 2.0
88 19810130 1.9
89 19810130 2.4
90 19810130 2.7
91 19810131 2.2
92 19810131 3.7
93 19810131 3.6
94 19810201 3.1
95 19810201 3.7
96 19810201 5.0
97 19810202 4.0
98 19810202 3.0
99 19810202 4.0
100 19810203 4.1
